stid,station_name,lat,lon,elev,begints,endts,iem_network
LFAC,Calais-Dunkerque,50.9621,1.9548,1,2022-09-22 00:00,,FR__ASOS
LFAQ,Albert,49.9715,2.6977,111,2007-06-06 00:00,,FR__ASOS
LFAT,Le Tourquet,50.5144,1.6228,14,1973-01-01 00:00,,FR__ASOS
LFBA,Agen,44.1722,0.5947,60,1972-12-31 00:00,,FR__ASOS
LFBC,Cazaux,44.5333,-1.125,33,1936-07-06 00:00,,FR__ASOS
LFBD,Bordeaux,44.8306,-0.6914,61,1931-01-01 00:00,,FR__ASOS
LFBE,Bergerac,44.8214,0.5164,52,1988-05-02 00:00,,FR__ASOS
LFBF,Toulouse,43.5456,1.3675,166,1931-01-01 00:00,,FR__ASOS
LFBG,Cognac,45.6667,-0.3167,31,1972-12-31 00:00,,FR__ASOS
LFBH,La Rochelle,46.1781,-1.1931,10,1976-11-30 00:00,,FR__ASOS
LFBI,Poitiers,46.5939,0.3144,120,1936-06-15 00:00,,FR__ASOS
LFBL,Limoges,45.8611,1.175,402,1972-12-31 00:00,,FR__ASOS
LFBM,Mont-de-marsan,43.9117,-0.5075,63,1931-04-01 00:00,,FR__ASOS
LFBO,Toulouse,43.6211,1.3789,153,1972-12-31 00:00,,FR__ASOS
LFBP,Pau,43.38,-0.4186,185,1936-06-15 00:00,,FR__ASOS
LFBT,Tarbes,43.1881,0,363,1972-12-31 00:00,,FR__ASOS
LFBU,Angouleme,45.7292,0.2215,133,1931-04-02 00:00,,FR__ASOS
LFBX,Perigueux,45.1981,0.8156,95.95018,1997-12-15 00:00,,FR__ASOS
LFBY,DAX SEYRESSE,43.6897,-1.07,32,1972-12-31 00:00,,FR__ASOS
LFBZ,Biarritz-bayonne,43.4694,-1.5344,71,1929-08-01 00:00,,FR__ASOS
LFCG,St.-girons,43.0053,1.1067,412,1972-12-31 00:00,2012-05-01 00:00,FR__ASOS
LFCK,Castres,43.5562,2.2892,227.67433,2006-10-24 00:00,,FR__ASOS
LFCR,Rodez,44.4103,2.4825,580,1974-03-18 00:00,,FR__ASOS
LFDB,Montauban,44.0281,1.3767,107,2001-09-19 00:00,2012-05-02 00:00,FR__ASOS
LFDH,Auch,43.6906,0.6014,128,1984-12-01 00:00,2012-09-03 00:00,FR__ASOS
LFGA,Colmar,48.1099,7.359,183.72566,2014-09-12 00:00,,FR__ASOS
LFGJ,Dole,47.0439,5.4272,196,1998-02-01 00:00,,FR__ASOS
LFHP,Le Puy,45.0744,3.7639,833,1983-11-30 00:00,,FR__ASOS
LFJL,Metz,48.9794,6.2431,264,1992-04-08 00:00,,FR__ASOS
LFJR,Angers/Marcé,47.5603,-0.3122,60,2004-05-10 00:00,,FR__ASOS
LFKB,Bastia,42.5406,9.4853,12,1945-05-18 00:00,,FR__ASOS
LFKC,Calvi,42.5228,8.7911,58,1972-12-31 00:00,,FR__ASOS
LFKF,Figari,41.5006,9.0978,23,1980-04-01 00:00,,FR__ASOS
LFKJ,Ajaccio,41.9306,8.7928,9,1936-06-16 00:00,,FR__ASOS
LFKS,Solenzara,41.9233,9.3967,22,1972-12-31 00:00,,FR__ASOS
LFLB,Chambery,45.6367,5.8831,239,1973-01-01 00:00,,FR__ASOS
LFLC,Clermont-Ferrand,45.7869,3.1494,330,1931-01-02 00:00,,FR__ASOS
LFLD,Bourges,47.0592,2.3597,166,1973-01-01 00:00,2012-12-31 00:00,FR__ASOS
LFLH,Chalon Champforgeui,46.826,4.818,186,2024-05-19 00:00,,FR__ASOS
LFLL,Lyon,45.7264,5.0778,240,1931-01-03 00:00,,FR__ASOS
LFLM,Macon,46.2967,4.7986,217,1973-01-01 00:00,2013-02-17 00:00,FR__ASOS
LFLN,St.-yan,46.4119,4.0247,244,1973-01-03 00:00,,FR__ASOS
LFLP,Annecy,45.9297,6.1058,463,2006-11-15 00:00,,FR__ASOS
LFLQ,MONTELIMAR/ANCONE,44.5811,4.7331,74,1931-04-01 00:00,2013-02-13 00:00,FR__ASOS
LFLS,Grenoble,45.3629,5.3294,386,1972-12-31 00:00,,FR__ASOS
LFLU,Valence,44.9216,4.9699,160.19559,2014-09-02 00:00,,FR__ASOS
LFLV,Vichy,46.1667,3.3986,251,1973-01-01 00:00,,FR__ASOS
LFLW,Aurillac,44.8986,2.4211,639,1979-02-15 00:00,,FR__ASOS
LFLX,Chateauroux,46.8697,1.7411,157,1936-01-02 00:00,,FR__ASOS
LFLY,Lyon,45.7261,4.9378,201,1972-12-31 00:00,,FR__ASOS
LFMC,Le Luc,43.3831,6.3864,78,1976-03-09 00:00,,FR__ASOS
LFMD,Cannes,43.5458,6.9539,9,1981-02-03 00:00,,FR__ASOS
LFMH,St-Etienne,45.5331,4.2933,402,1973-01-01 00:00,,FR__ASOS
LFMI,Istres,43.5231,4.9222,24,1936-07-02 00:00,,FR__ASOS
LFMK,Carcassonne,43.216,2.3063,130,1972-12-31 00:00,,FR__ASOS
LFML,Marseille,43.4417,5.2267,36,1931-01-01 00:00,,FR__ASOS
LFMN,Nice,43.6489,7.2089,10,1945-09-30 00:00,,FR__ASOS
LFMO,Orange,44.1447,4.8611,55,1972-12-31 00:00,,FR__ASOS
LFMP,Perpignan,42.7372,2.8728,48,1929-08-01 00:00,,FR__ASOS
LFMT,Montpellier,43.5769,3.9631,6,1972-12-31 00:00,,FR__ASOS
LFMU,Beziers,43.3235,3.3539,17,1975-07-17 00:00,,FR__ASOS
